app_id,order,ctx0,ctx1,ctx2,ctx3,next_op,count,prob
4,4,5,40,4,5,2,3,0.600000
4,4,5,40,4,5,18,1,0.200000
4,4,5,40,4,5,22,1,0.200000
4,4,5,41,2,3,4,33,1.000000
4,4,5,41,2,23,4,26,1.000000
4,4,5,41,2,24,40,11,1.000000
4,4,5,41,2,25,22,1,1.000000
4,4,5,41,2,32,23,2,0.333333
4,4,5,41,2,32,32,2,0.333333
4,4,5,41,2,32,33,2,0.333333
4,4,5,41,2,33,39,4,0.400000
4,4,5,41,2,33,34,3,0.300000
4,4,5,41,2,33,27,2,0.200000
4,4,5,41,2,33,28,1,0.100000
4,4,6,7,5,8,5,49,1.000000
4,4,6,7,5,9,5,3,1.000000
4,4,6,7,5,10,11,41,1.000000
4,4,6,7,5,18,2,1,1.000000
4,4,6,7,5,22,31,1,1.000000
4,4,6,7,5,31,2,1,1.000000
4,4,6,7,5,41,2,1,1.000000
4,4,7,5,8,5,2,48,1.000000
4,4,7,5,9,5,41,2,0.666667
4,4,7,5,9,5,22,1,0.333333
4,4,7,5,10,11,31,41,1.000000
4,4,7,5,18,2,23,1,1.000000
4,4,7,5,22,31,2,1,1.000000
4,4,7,5,31,2,23,1,1.000000
4,4,7,5,41,2,23,1,1.000000
4,4,8,5,2,3,4,21,1.000000
4,4,8,5,2,23,4,12,1.000000
4,4,8,5,2,24,40,5,1.000000
4,4,8,5,2,32,32,2,0.666667
4,4,8,5,2,32,23,1,0.333333
4,4,8,5,2,33,28,2,0.285714
4,4,8,5,2,33,34,2,0.285714
4,4,8,5,2,33,27,1,0.142857
4,4,8,5,2,33,32,1,0.142857
4,4,8,5,2,33,39,1,0.142857
4,4,8,5,6,7,5,1,1.000000
4,4,8,5,8,5,30,39,1.000000
4,4,8,5,9,5,31,1,1.000000
4,4,8,5,18,2,23,1,1.000000
4,4,8,5,30,5,2,38,1.000000
4,4,8,5,31,2,3,28,0.373333
4,4,8,5,31,2,23,17,0.226667
4,4,8,5,31,2,24,12,0.160000
4,4,8,5,31,2,33,12,0.160000
4,4,8,5,31,2,32,5,0.066667
4,4,8,5,31,2,25,1,0.013333
4,4,9,5,2,3,4,19,1.000000
4,4,9,5,2,23,4,11,1.000000
4,4,9,5,2,24,40,4,1.000000
4,4,9,5,2,33,27,4,0.444444
4,4,9,5,2,33,34,2,0.222222
4,4,9,5,2,33,39,2,0.222222
4,4,9,5,2,33,32,1,0.111111
4,4,9,5,18,2,23,1,1.000000
4,4,9,5,22,31,2,5,1.000000
4,4,9,5,30,5,31,1,1.000000
4,4,9,5,31,2,3,33,0.358696
4,4,9,5,31,2,23,20,0.217391
4,4,9,5,31,2,24,20,0.217391
4,4,9,5,31,2,33,13,0.141304
4,4,9,5,31,2,32,5,0.054348
4,4,9,5,31,2,25,1,0.010870
4,4,9,5,41,2,3,1,0.333333
4,4,9,5,41,2,23,1,0.333333
4,4,9,5,41,2,24,1,0.333333
4,4,10,5,11,5,2,36,1.000000
4,4,10,11,31,2,3,16,0.410256
4,4,10,11,31,2,23,10,0.256410
4,4,10,11,31,2,24,6,0.153846
4,4,10,11,31,2,33,5,0.128205
4,4,10,11,31,2,32,2,0.051282
4,4,11,5,2,3,4,10,1.000000
4,4,11,5,2,23,4,14,1.000000
4,4,11,5,2,24,40,5,1.000000
4,4,11,5,2,25,22,1,1.000000
4,4,11,5,2,32,32,1,0.500000
4,4,11,5,2,32,33,1,0.500000
4,4,11,5,2,33,28,2,0.500000
4,4,11,5,2,33,27,1,0.250000
4,4,11,5,2,33,34,1,0.250000
4,4,11,31,2,3,4,16,1.000000
4,4,11,31,2,23,4,10,1.000000
4,4,11,31,2,24,40,6,1.000000
4,4,11,31,2,32,32,1,0.500000
4,4,11,31,2,32,33,1,0.500000
4,4,11,31,2,33,39,3,0.600000
4,4,11,31,2,33,27,1,0.200000
4,4,11,31,2,33,34,1,0.200000
4,4,12,13,31,2,3,41,0.418367
4,4,12,13,31,2,23,17,0.173469
4,4,12,13,31,2,24,17,0.173469
4,4,12,13,31,2,33,15,0.153061
4,4,12,13,31,2,32,6,0.061224
4,4,12,13,31,2,25,2,0.020408
4,4,13,31,2,3,4,41,1.000000
4,4,13,31,2,23,4,17,1.000000
4,4,13,31,2,24,40,17,1.000000
4,4,13,31,2,25,22,2,1.000000
4,4,13,31,2,32,23,3,0.500000
4,4,13,31,2,32,33,3,0.500000
4,4,13,31,2,33,34,8,0.533333
4,4,13,31,2,33,27,3,0.200000
4,4,13,31,2,33,28,2,0.133333
4,4,13,31,2,33,32,1,0.066667
4,4,13,31,2,33,39,1,0.066667
4,4,14,2,3,4,5,2,1.000000
4,4,14,2,23,4,5,1,1.000000
4,4,14,2,24,40,4,1,1.000000
4,4,14,2,32,23,4,1,1.000000
4,4,14,2,33,32,34,1,1.000000
4,4,14,16,31,2,3,16,0.372093
4,4,14,16,31,2,23,13,0.302326
4,4,14,16,31,2,33,6,0.139535
4,4,14,16,31,2,24,5,0.116279
4,4,14,16,31,2,32,3,0.069767
4,4,14,31,2,3,4,57,1.000000
4,4,14,31,2,23,4,42,1.000000
4,4,14,31,2,24,40,29,1.000000
4,4,14,31,2,32,33,3,0.428571
4,4,14,31,2,32,23,2,0.285714
4,4,14,31,2,32,32,2,0.285714
4,4,14,31,2,33,34,15,0.517241
4,4,14,31,2,33,27,6,0.206897
4,4,14,31,2,33,28,5,0.172414
4,4,14,31,2,33,39,2,0.068966
4,4,14,31,2,33,32,1,0.034483
4,4,16,31,2,3,4,46,1.000000
4,4,16,31,2,23,4,25,1.000000
4,4,16,31,2,24,40,15,1.000000
4,4,16,31,2,25,22,1,1.000000
4,4,16,31,2,32,33,5,0.714286
